OUTCOME,TOP_GOLD_DIFF,TOP1_IMPACT,TOP2_IMPACT,JUNGLE_GOLD_DIFF,JUNGLE1_IMPACT,JUNGLE2_IMPACT,MIDDLE_GOLD_DIFF,MIDDLE1_IMPACT,MIDDLE2_IMPACT,BOTTOM_GOLD_DIFF,BOTTOM1_IMPACT,BOTTOM2_IMPACT,UTILITY_GOLD_DIFF,UTILITY1_IMPACT,UTILITY2_IMPACT,TOP_JUNGLE,TOP_MIDDLE,TOP_BOTTOM,TOP_UTILITY,JUNGLE_TOP,JUNGLE_MIDDLE,JUNGLE_BOTTOM,JUNGLE_UTILITY,MIDDLE_TOP,MIDDLE_JUNGLE,MIDDLE_BOTTOM,MIDDLE_UTILITY,BOTTOM_TOP,BOTTOM_JUNGLE,BOTTOM_MIDDLE,BOTTOM_UTILITY,UTILITY_TOP,UTILITY_JUNGLE,UTILITY_MIDDLE,UTILITY_BOTTOM
0,1259,2,2,-259,1,4,-3044,1,2,-774,1,2,-71,1,3,1,-2,0,0,1,-1,-1,0,0,-1,-1,0,0,0,0,-1,0,-2,-1,1
1,-1369,0,1,1531,2,4,2370,2,2,123,3,2,467,1,3,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,-1
1,4039,0,0,800,1,2,-1778,1,1,244,0,3,-589,2,2,2,0,0,0,-1,1,3,1,0,-1,0,0,0,0,0,1,0,-1,-1,0
0,271,1,0,428,0,0,563,1,0,276,2,1,72,4,2,0,0,0,0,1,0,1,3,0,0,0,1,0,0,1,-1,0,-2,0,1
0,920,2,0,-1189,1,3,-156,0,1,-1525,1,4,-602,0,3,0,0,0,0,2,-1,-2,0,0,-1,1,0,-1,0,0,-2,0,-2,0,-1
0,-2843,1,3,-1947,0,2,-474,4,3,582,0,1,-177,0,1,-2,1,0,0,-1,1,0,0,0,-2,0,0,0,-1,0,0,0,0,0,-1
0,-2386,1,1,944,0,1,-969,1,2,-114,1,2,-27,2,1,0,-1,0,0,1,0,1,2,-1,0,-1,0,0,-1,-1,0,0,-1,0,0
0,826,1,0,48,1,2,-336,0,0,-2073,2,1,574,4,4,1,0,0,0,0,0,0,2,1,0,0,0,0,0,-1,2,0,-1,-1,-2
1,1699,0,3,-241,1,2,535,0,1,-1555,0,1,-857,2,0,1,1,0,0,3,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,-2
1,-3624,1,0,-1154,2,2,14,0,1,-443,0,1,263,5,4,-1,0,0,0,-1,0,1,0,0,0,0,2,0,1,0,2,-1,0,-2,-1
0,-2953,1,1,-320,1,1,-236,2,2,2914,2,3,898,2,0,0,-1,0,0,0,2,2,0,0,-1,0,-1,0,-2,0,2,0,0,0,0
1,3228,0,0,505,3,5,2650,1,3,-622,3,2,1304,0,2,2,0,0,0,0,0,-2,0,0,2,0,0,0,-2,-1,1,0,1,2,2
