OUTCOME,TOP_GOLD_LOG_RATIO,TOP2_IMPACT,TOP1_IMPACT,JUNGLE_GOLD_LOG_RATIO,JUNGLE2_IMPACT,JUNGLE1_IMPACT,MIDDLE_GOLD_LOG_RATIO,MIDDLE2_IMPACT,MIDDLE1_IMPACT,BOTTOM_GOLD_LOG_RATIO,BOTTOM2_IMPACT,BOTTOM1_IMPACT,UTILITY_GOLD_LOG_RATIO,UTILITY2_IMPACT,UTILITY1_IMPACT,TOP_JUNGLE,TOP_MIDDLE,TOP_BOTTOM,TOP_UTILITY,JUNGLE_TOP,JUNGLE_MIDDLE,JUNGLE_BOTTOM,JUNGLE_UTILITY,MIDDLE_TOP,MIDDLE_JUNGLE,MIDDLE_BOTTOM,MIDDLE_UTILITY,BOTTOM_TOP,BOTTOM_JUNGLE,BOTTOM_MIDDLE,BOTTOM_UTILITY,UTILITY_TOP,UTILITY_JUNGLE,UTILITY_MIDDLE,UTILITY_BOTTOM
1,-0.3386890850047192,2,2,0.06243694513070652,4,1,0.7388663784212561,2,1,0.2123907353809268,2,1,0.025408407669714514,3,1,-1,0,0,0,-1,1,0,2,2,1,0,1,0,1,1,-1,0,0,0,1
0,0.33890574274432217,1,0,-0.3315367152249568,4,2,-0.5724560876828119,2,2,-0.030646431706288904,2,3,-0.14314642500083022,3,1,0,0,0,0,0,0,0,-1,0,-2,0,0,0,-1,0,1,0,-1,0,0
0,-0.9583086111537163,0,0,-0.18376787173964607,2,1,0.46799898426687314,1,1,-0.07044568426715023,3,0,0.25081305120951775,2,2,1,0,0,0,-2,1,0,1,0,-1,0,1,0,-3,0,0,0,-1,0,-1
0,0.08170371793354846,0,1,0.0891684758212953,0,0,0.1651180308374507,0,1,0.07578980050051846,1,2,0.025885080871246243,2,4,0,0,0,0,1,0,1,3,0,0,0,1,0,0,1,-1,0,-2,0,1
1,-0.28569277326237685,0,2,0.2749586215964174,3,1,0.04101231461742973,1,0,0.357214868773234,4,1,0.18239490928622035,3,0,-2,0,1,0,0,1,0,2,0,1,0,0,0,2,-1,1,0,0,0,2
0,-0.6600028058648381,3,1,-0.44117232830841946,2,0,-0.10953665104679955,3,4,0.16151524208557533,1,0,-0.060255784300241796,1,0,-2,1,0,0,-1,1,0,0,0,-2,0,0,0,-1,0,0,0,0,0,-1
0,-0.7323197452581937,1,1,0.1956101946546324,1,0,-0.2793219235095025,2,1,-0.031850099635511976,2,1,-0.012110366806603743,1,2,0,-1,0,0,1,0,1,2,-1,0,-1,0,0,-1,-1,0,0,-1,0,0
1,-0.22061852274548185,0,1,-0.012245760872830814,2,1,0.09606272178082897,0,0,0.4982889781072913,1,2,-0.21293885474680252,4,4,0,-1,0,0,-1,0,0,1,0,0,1,1,0,0,0,2,0,-2,0,-2
1,0.397166048395896,3,0,-0.05506004369548243,2,1,0.1454931527820979,1,0,-0.40864377859803896,1,0,-0.35673399024614183,0,2,1,1,0,0,3,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,-2
1,-0.99132092244408,0,1,-0.26683931803722366,2,2,0.00354470704341211,1,0,-0.09800868881809034,1,0,0.09708964979508962,4,5,-1,0,0,0,-1,0,1,0,0,0,0,2,0,1,0,2,-1,0,-2,-1
