TOP1_GOLD,JUNGLE1_GOLD,MIDDLE1_GOLD,BOTTOM1_GOLD,UTILITY1_GOLD,TOP2_GOLD,JUNGLE2_GOLD,MIDDLE2_GOLD,BOTTOM2_GOLD,UTILITY2_GOLD,TOP1_TOP2,TOP1_JUNGLE2,TOP1_MIDDLE2,TOP1_BOTTOM2,TOP1_UTILITY2,JUNGLE1_TOP2,JUNGLE1_JUNGLE2,JUNGLE1_MIDDLE2,JUNGLE1_BOTTOM2,JUNGLE1_UTILITY2,MIDDLE1_TOP2,MIDDLE1_JUNGLE2,MIDDLE1_MIDDLE2,MIDDLE1_BOTTOM2,MIDDLE1_UTILITY2,BOTTOM1_TOP2,BOTTOM1_JUNGLE2,BOTTOM1_MIDDLE2,BOTTOM1_BOTTOM2,BOTTOM1_UTILITY2,UTILITY1_TOP2,UTILITY1_JUNGLE2,UTILITY1_MIDDLE2,UTILITY1_BOTTOM2,UTILITY1_UTILITY2,TOP2_TOP1,TOP2_JUNGLE1,TOP2_MIDDLE1,TOP2_BOTTOM1,TOP2_UTILITY1,JUNGLE2_TOP1,JUNGLE2_JUNGLE1,JUNGLE2_MIDDLE1,JUNGLE2_BOTTOM1,JUNGLE2_UTILITY1,MIDDLE2_TOP1,MIDDLE2_JUNGLE1,MIDDLE2_MIDDLE1,MIDDLE2_BOTTOM1,MIDDLE2_UTILITY1,BOTTOM2_TOP1,BOTTOM2_JUNGLE1,BOTTOM2_MIDDLE1,BOTTOM2_BOTTOM1,BOTTOM2_UTILITY1,UTILITY2_TOP1,UTILITY2_JUNGLE1,UTILITY2_MIDDLE1,UTILITY2_BOTTOM1,UTILITY2_UTILITY1
4841,6843,9338,6521,4124,4655,6232,5593,5581,4810,0,0,0,0,0,4,1,0,1,2,0,1,4,1,2,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0
5481,8565,7499,7440,5779,4416,5795,6905,4820,3627,3,0,0,0,0,3,4,1,0,2,0,1,1,3,2,1,0,0,2,1,0,2,1,0,0,0,1,0,0,0,1,0,1,0,2,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0
3052,6995,5204,5931,4216,7445,6806,5460,5094,4697,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,2,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1
4655,5591,5268,6201,4539,6868,5061,5379,5318,3298,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
5265,6335,6098,6315,4023,6357,6234,4909,5560,3749,1,0,1,0,0,0,1,2,0,1,1,1,0,1,0,0,0,0,1,3,0,0,0,1,0,3,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0
7429,7544,5420,6943,5449,4490,5114,5731,4405,3420,3,1,0,0,0,0,1,3,0,2,1,0,1,0,1,0,1,0,3,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
5034,6238,8317,6079,5355,6352,8570,5280,4804,4886,0,0,0,0,0,1,1,1,1,0,0,2,6,0,0,1,0,0,2,0,0,0,0,1,2,2,1,0,0,1,0,2,3,4,2,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0
5366,5001,5224,7090,3579,6694,6338,5262,6440,4355,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,1,1,0,2,2,0,0,0,0,0,0,0,1,0,0,1,1,1,1,2,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0
5278,8043,5030,8970,5344,5480,6169,6116,4566,4267,1,0,0,0,0,1,1,2,2,2,0,1,0,0,0,0,1,0,4,3,0,1,0,3,0,2,0,0,0,0,0,1,1,0,1,0,1,0,2,0,0,0,0,1,1,0,0,0,1,1
5319,6390,8177,6426,4577,4462,5205,5216,4795,3584,0,0,0,0,0,0,2,0,1,1,2,0,2,0,0,0,0,0,2,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
5783,7401,5967,5424,3622,4755,6348,5922,6328,5708,1,0,0,0,0,1,1,1,1,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,1,2,0,1,1,0,0,0,3,1,0,0,1,1,1
5738,6320,6672,6000,5072,6163,5357,5736,4594,3709,1,0,0,0,0,0,2,1,1,0,0,2,2,0,0,0,0,1,1,1,0,0,1,0,1,0,1,2,0,0,1,0,0,1,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0
5479,6500,8759,6964,4952,4923,3955,6056,4442,2927,0,0,0,1,0,1,0,0,0,0,1,2,5,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
5266,6831,5278,6787,4217,6707,5306,4996,5188,3464,3,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,2,2,0,1,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
6878,6166,8212,6574,5095,3829,5074,4647,4637,3350,3,0,0,0,0,1,0,0,2,1,0,3,1,1,0,0,2,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7752,5896,4427,9659,4384,4035,6361,6732,4373,3451,0,0,0,1,1,0,0,0,1,2,0,0,1,0,0,1,3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0
6083,5521,7084,7744,5311,5742,5126,4897,4157,4533,1,0,1,1,0,0,0,0,2,0,0,1,1,1,3,1,0,0,2,2,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
5600,6384,4711,7487,3937,5698,5139,5903,4789,3795,1,1,0,0,0,1,2,2,0,0,1,0,0,0,0,0,1,0,2,4,0,0,0,0,1,0,2,1,0,1,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0
6239,6678,6156,7326,4356,5267,5828,5556,6607,3819,2,0,0,0,0,0,1,0,2,3,0,2,2,0,1,0,1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0,1,1,1,2,0,0,0,0,0
3516,6865,5434,6065,4537,6832,6290,4492,4798,3229,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6444,5628,5749,7064,4246,5623,5420,5687,5303,3443,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,2,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
6572,5629,5171,5010,3480,4339,5857,6354,5096,3740,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0
5859,6963,7470,8225,4005,4993,5134,5002,6136,3772,0,0,0,0,1,1,2,2,0,0,1,1,2,0,1,0,1,0,2,2,0,0,1,0,0,0,1,2,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,3,0,0,1,0,0
4758,6115,7595,5654,4067,6017,5856,4551,4880,3996,0,1,0,0,0,0,1,1,0,2,2,2,2,0,1,0,1,1,1,0,0,0,0,2,0,3,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
5170,7457,7236,5852,4944,6539,5926,4866,5729,4477,2,0,0,0,0,1,3,2,2,1,0,2,3,0,0,0,1,0,0,2,0,1,0,0,0,3,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,2,1,0,0,0,2,1
8322,6689,4640,5120,3102,4283,5889,6418,4876,3691,4,2,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0
4651,6713,4643,5117,3977,4922,7141,5206,5393,4049,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,3,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1
4201,6852,5566,6953,5069,5121,5663,5410,5428,4467,0,0,0,1,0,0,0,1,1,2,0,1,0,0,0,0,2,0,1,1,0,0,0,2,0,1,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,2
7744,7390,6483,4913,4327,4901,5443,6009,5495,4150,2,1,1,0,0,2,0,2,1,0,1,1,2,0,0,0,0,0,1,1,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0
5994,6501,5505,5221,3230,3608,7445,4536,5107,3203,3,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4999,5631,5216,7098,3609,5825,5679,4880,5025,4183,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,2,0,2,2,0,0,0,0,0,2,1,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1
7060,6195,5577,4749,3055,5361,6436,5042,6304,3912,1,1,1,0,0,3,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0
3668,5680,5705,6302,4041,7292,6834,5691,6745,3778,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,1,0,1,2,0,1,0,0,0,4,1,0,0,1,1,2,0,0,1,0,1,2,0,2,0,0,0,2,1,0,0,0,0,0
7083,6951,5030,4433,3960,4130,6631,4794,7347,4858,2,1,0,0,0,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,1,0,4,2,0,0,0,0,2
6947,5968,7449,5303,5868,3719,5463,4799,5925,4564,2,2,0,0,0,0,1,1,0,0,0,2,2,0,1,0,0,0,1,1,0,1,2,2,1,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,2,0,2,0,0,0,1,0,1
5538,8345,6278,6167,3790,4968,5438,5690,4963,3468,1,0,0,0,0,0,2,1,2,2,0,2,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
5136,5134,5215,5426,3946,5655,5312,4765,4565,3443,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
5542,6701,5742,5528,4340,6881,7149,5594,4615,3853,0,0,0,0,1,0,0,3,2,1,0,0,0,0,1,0,0,0,2,0,0,0,1,0,1,1,0,1,0,1,2,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0
5113,5341,7795,4985,4163,5243,5534,5171,6378,5973,0,0,0,0,0,1,0,1,0,0,0,2,3,0,1,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,2,1,0,0,0,1,3
