OUTCOME,TOP_GOLD_RATIO,TOP1_IMPACT,TOP2_IMPACT,JUNGLE_GOLD_RATIO,JUNGLE1_IMPACT,JUNGLE2_IMPACT,MIDDLE_GOLD_RATIO,MIDDLE1_IMPACT,MIDDLE2_IMPACT,BOTTOM_GOLD_RATIO,BOTTOM1_IMPACT,BOTTOM2_IMPACT,UTILITY_GOLD_RATIO,UTILITY1_IMPACT,UTILITY2_IMPACT,TOP_JUNGLE,TOP_MIDDLE,TOP_BOTTOM,TOP_UTILITY,JUNGLE_TOP,JUNGLE_MIDDLE,JUNGLE_BOTTOM,JUNGLE_UTILITY,MIDDLE_TOP,MIDDLE_JUNGLE,MIDDLE_BOTTOM,MIDDLE_UTILITY,BOTTOM_TOP,BOTTOM_JUNGLE,BOTTOM_MIDDLE,BOTTOM_UTILITY,UTILITY_TOP,UTILITY_JUNGLE,UTILITY_MIDDLE,UTILITY_BOTTOM
1,1.65456570155902,0,1,1.4751662104028158,0,2,0.9457337288431338,1,3,1.5761634506242905,0,2,1.5932748538011696,2,3,1,0,0,0,0,3,0,2,1,0,0,0,0,1,0,0,0,0,-1,1
0,1.2618196265395312,1,2,1.3738377685155498,2,2,0.634844294817843,4,1,0.7902615561770028,5,2,0.9124183006535947,3,0,0,0,-1,1,0,1,4,2,0,0,0,0,0,-1,0,-1,1,0,1,1
1,0.8016133851210039,1,1,0.7890501735563269,2,3,0.9927784112504751,2,0,1.1009316770186335,3,1,0.8218140068886337,3,2,0,0,0,0,0,0,-1,0,-1,0,0,0,1,0,0,0,0,-2,0,-1
1,0.9631386861313869,0,1,1.3037769492624411,1,3,0.8224329627207325,1,2,1.9645203679369252,3,5,1.2524021560815561,2,5,0,0,0,0,1,1,2,2,0,0,0,0,0,1,-2,2,0,0,0,2
1,1.192066337965038,0,2,1.2276657060518732,1,0,1.5676763803680982,0,0,1.34014598540146,2,1,1.2770647321428572,1,2,0,0,0,0,0,-1,1,1,2,0,0,0,0,-1,0,0,0,-1,0,0
0,0.8222375929448383,2,1,0.8577219294689907,2,1,0.9924585218702866,1,2,1.1666666666666667,2,1,1.5759249033683047,4,0,-1,0,0,0,1,-1,0,2,1,1,1,0,0,-1,0,1,0,0,1,1
0,1.0740676193795748,3,0,0.847626582278481,3,2,0.8597122302158273,2,3,0.7656666666666667,2,1,0.731269716088328,0,1,1,2,0,0,1,-2,1,0,2,0,0,-1,0,0,0,0,0,0,0,-1
1,1.1129392646760106,1,2,1.6434892541087232,1,2,1.446334214002642,0,0,1.5677622692480864,0,1,1.6918346429791595,1,3,0,0,0,0,1,-1,0,0,1,2,0,1,0,0,0,2,0,0,-1,0
1,0.7851498434471448,0,0,1.2874104787033547,1,1,1.0564451561249,0,0,1.3082112567463378,0,1,1.217378752886836,1,5,0,0,0,0,-1,0,0,3,0,0,0,0,0,0,0,2,0,1,0,0
1,1.7962914599112039,0,1,1.215214820654316,0,5,1.7671616096406284,1,0,1.4177269786499893,1,4,1.5208955223880598,0,4,0,0,0,0,1,0,2,1,0,2,1,0,0,1,0,3,0,0,0,1
